Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz,x,y,z,Re_alpha,Im_alpha,Re_Ex,Im_Ex,Re_Ey,Im_Ey,Re_Ez,Im_Ez
1.911273740e-32,6.131099862e-34,7.023368919e-35,1.525705013e-35,0.000000000e+00,0.000000000e+00,3.306482861e-08,1.231351715e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.896704418e-32,6.156203179e-34,1.256686154e-35,1.201217631e-35,0.000000000e+00,0.000000000e+00,3.978263577e-09,1.260177026e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.902048738e-32,6.314198440e-34,-8.215222318e-35,4.101048379e-36,0.000000000e+00,0.000000000e+00,3.807504486e-09,1.284442688e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.915831841e-32,6.557281452e-34,-1.247400126e-35,1.737650090e-36,0.000000000e+00,0.000000000e+00,2.971809446e-08,1.319321524e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.893771015e-32,6.394215385e-34,-6.479890566e-35,-6.635416996e-36,0.000000000e+00,0.000000000e+00,2.790205672e-08,1.352972715e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.897835367e-32,6.158043780e-34,6.292116570e-35,-3.709362169e-36,0.000000000e+00,0.000000000e+00,-2.225707599e-08,1.380127907e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.916217395e-32,6.306781999e-34,7.054942517e-35,-4.059908693e-36,0.000000000e+00,-0.000000000e+00,6.014335195e-08,1.409634716e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.911352889e-32,6.055638697e-34,-6.098613886e-35,-1.040010375e-35,0.000000000e+00,0.000000000e+00,2.327443626e-08,1.431430281e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.926812467e-32,6.043974332e-34,-1.909885800e-34,-1.243998006e-35,0.000000000e+00,0.000000000e+00,4.035938417e-08,1.469206705e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.906291838e-32,5.810980884e-34,-1.009571463e-34,-4.282000307e-36,0.000000000e+00,0.000000000e+00,-1.484039907e-08,1.498764079e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.902021644e-32,5.915040947e-34,8.322341485e-35,8.181937222e-36,0.000000000e+00,0.000000000e+00,-1.740568119e-08,1.534809309e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.913896091e-32,6.242825628e-34,2.495089600e-35,5.525332227e-36,0.000000000e+00,0.000000000e+00,2.745396731e-08,1.561473499e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.895920424e-32,6.120151017e-34,-1.518989392e-35,1.129849878e-36,0.000000000e+00,0.000000000e+00,-3.723644706e-08,1.591684322e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.899103545e-32,6.364625889e-34,8.582473651e-36,-1.187767225e-36,0.000000000e+00,0.000000000e+00,1.656140458e-08,1.619588590e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.895069461e-32,6.213779833e-34,-1.009112711e-34,-1.061164987e-35,0.000000000e+00,0.000000000e+00,-2.776375218e-08,1.647033100e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.896975759e-32,6.114098034e-34,5.379438781e-35,-5.790886048e-36,0.000000000e+00,0.000000000e+00,-2.112903495e-08,1.682753252e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.904340664e-32,6.012060796e-34,5.746281512e-35,-5.465250415e-36,0.000000000e+00,0.000000000e+00,-1.150151480e-08,1.713610316e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.906957383e-32,5.892283904e-34,-7.912286848e-35,-9.802002935e-36,0.000000000e+00,0.000000000e+00,-1.072223432e-08,1.738987765e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.911091411e-32,5.803476730e-34,7.862242778e-35,3.515415410e-36,0.000000000e+00,0.000000000e+00,-1.348321883e-08,1.769178099e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.965857383e-32,6.207191323e-34,-4.374685458e-35,3.621028506e-36,0.000000000e+00,0.000000000e+00,3.593272796e-08,1.801642219e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.904419622e-32,5.984874459e-34,-1.228363774e-34,5.067487612e-36,0.000000000e+00,0.000000000e+00,2.092491285e-08,1.833966694e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
