Re_px,Im_px,Re_py,Im_py,Re_pz,Im_pz,x,y,z,Re_alpha,Im_alpha,Re_Ex,Im_Ex,Re_Ey,Im_Ey,Re_Ez,Im_Ez
1.905644497e-32,6.072150669e-34,-2.873722026e-36,6.184018819e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.860000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903785515e-32,6.224733129e-34,-2.264446185e-36,5.149372124e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.890000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.902792315e-32,6.332526859e-34,-1.173516634e-36,2.033175682e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.920000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903062364e-32,6.354059060e-34,-2.480300293e-37,-2.038031546e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.950000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.904500464e-32,6.279041105e-34,-4.954034951e-38,-5.557441368e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.980000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.906551079e-32,6.132723984e-34,-7.952810988e-37,-7.190064847e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.010000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908411708e-32,5.967239506e-34,-2.236421436e-36,-6.272404599e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.040000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.909345862e-32,5.842899735e-34,-3.734063119e-36,-3.072909522e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.070000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.908974199e-32,5.806145914e-34,-4.513603654e-36,1.289086830e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.100000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.907429248e-32,5.872171762e-34,-4.001372736e-36,5.244034149e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.130000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.905310861e-32,6.018676022e-34,-2.105979924e-36,7.351404157e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.160000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.903456619e-32,6.193252084e-34,6.802104860e-37,6.846335898e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.190000000e-05,0.000000000e+00,1.901129516e-32,3.454596861e-34,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
